Code,Module,Term,Cw
4e1 ,Innovation and strategic management of intellectual property ,M,yes
4e4 ,management of technology,M,yes
4e11 ,Strategic management,L,yes
4e12 ,project management,L,yes
4f5 ,advanced information theory and coding,L,no
4f7 ,statistical signal analysis,L,no
4f8 ,image processing and image coding,L,no
4f10 ,Deep learning and structured data,M,no
4f12 ,Computer vision,M,no
4m12 ,Pdes and variational methods ,L,no
4m17  ,Practical optimozation,M,yes 
4m21 ,Software engineering and design,L,no
